"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2017",874.861,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2014",6460.093,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2014",1003.112,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2014",799.984,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2013",4981.156,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2013",1082.78,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2013",912.408,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2012",3925.666,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2012",1066.904,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2012",865.268,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2011",3150.631,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2011",996.668,,,"T30:61_I13:3888","R1:3513_S4:33"
